"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"Dijsktra",aucune,./src/resources/graphes/g/gAlea134.g,0,0.011,204.250,1934.675,17956,14337
"A*",Manhattan,./src/resources/graphes/g/gAlea134.g,0,0.661,211.664,102.551,17956,257
"A*",euclidienne,./src/resources/graphes/g/gAlea134.g,0,0.041,204.250,1210.003,17956,3970
"Dijsktra",aucune,./src/resources/graphes/g/gAlea135.g,0,0.011,224.250,1979.307,18225,14503
"A*",Manhattan,./src/resources/graphes/g/gAlea135.g,0,0.099,232.392,586.733,18225,1700
"A*",euclidienne,./src/resources/graphes/g/gAlea135.g,0,0.017,224.250,2430.611,18225,9711
"Dijsktra",aucune,./src/resources/graphes/g/gAlea136.g,0,0.011,209.664,2511.615,18496,14773
"A*",Manhattan,./src/resources/graphes/g/gAlea136.g,0,0.524,221.522,118.676,18496,351
"A*",euclidienne,./src/resources/graphes/g/gAlea136.g,0,0.038,209.664,1315.189,18496,4388
"Dijsktra",aucune,./src/resources/graphes/g/gAlea137.g,0,0.011,226.978,2119.692,18769,15063
"A*",Manhattan,./src/resources/graphes/g/gAlea137.g,0,0.705,231.806,87.367,18769,244
"A*",euclidienne,./src/resources/graphes/g/gAlea137.g,0,0.031,226.978,1723.930,18769,5412
"Dijsktra",aucune,./src/resources/graphes/g/gAlea138.g,0,0.011,220.907,2146.599,19044,15149
"A*",Manhattan,./src/resources/graphes/g/gAlea138.g,0,0.359,224.078,189.609,19044,479
"A*",euclidienne,./src/resources/graphes/g/gAlea138.g,0,0.021,220.907,2262.257,19044,7907
"Dijsktra",aucune,./src/resources/graphes/g/gAlea139.g,0,0.011,227.321,2789.514,19321,15435
"A*",Manhattan,./src/resources/graphes/g/gAlea139.g,0,0.201,239.463,345.443,19321,882
"A*",euclidienne,./src/resources/graphes/g/gAlea139.g,0,0.018,227.321,2563.100,19321,9308
"Dijsktra",aucune,./src/resources/graphes/g/gAlea14.g,0,0.077,1223.542,1.474,196,196
"A*",Manhattan,./src/resources/graphes/g/gAlea14.g,0,0.077,1223.542,2.158,196,196
"A*",euclidienne,./src/resources/graphes/g/gAlea14.g,0,0.077,1223.542,1.304,196,196
"Dijsktra",aucune,./src/resources/graphes/g/gAlea140.g,0,0.011,244.492,2244.610,19600,15680
"A*",Manhattan,./src/resources/graphes/g/gAlea140.g,0,0.055,250.492,1072.713,19600,3266
"A*",euclidienne,./src/resources/graphes/g/gAlea140.g,0,0.014,244.492,3221.206,19600,12520
"Dijsktra",aucune,./src/resources/graphes/g/gAlea141.g,0,0.011,214.735,2262.565,19881,15858
"A*",Manhattan,./src/resources/graphes/g/gAlea141.g,0,0.482,228.836,151.570,19881,390
"A*",euclidienne,./src/resources/graphes/g/gAlea141.g,0,0.040,214.735,1669.684,19881,4321
"Dijsktra",aucune,./src/resources/graphes/g/gAlea142.g,0,0.011,222.635,2359.901,20164,16201
"A*",Manhattan,./src/resources/graphes/g/gAlea142.g,0,0.689,227.563,112.125,20164,264
"A*",euclidienne,./src/resources/graphes/g/gAlea142.g,0,0.027,222.635,2033.215,20164,6492
"Dijsktra",aucune,./src/resources/graphes/g/gAlea143.g,0,0.011,720.563,2378.015,20449,16412
"A*",Manhattan,./src/resources/graphes/g/gAlea143.g,0,0.662,729.492,107.796,20449,284
"A*",euclidienne,./src/resources/graphes/g/gAlea143.g,0,0.029,720.563,2009.984,20449,6149
"Dijsktra",aucune,./src/resources/graphes/g/gAlea144.g,0,0.011,723.392,2633.970,20736,16524
"A*",Manhattan,./src/resources/graphes/g/gAlea144.g,0,0.617,730.664,124.031,20736,308
"A*",euclidienne,./src/resources/graphes/g/gAlea144.g,0,0.030,723.392,1853.580,20736,5913
"Dijsktra",aucune,./src/resources/graphes/g/gAlea145.g,0,0.010,220.392,3123.044,21025,16840
"A*",Manhattan,./src/resources/graphes/g/gAlea145.g,0,0.693,230.735,106.032,21025,270
"A*",euclidienne,./src/resources/graphes/g/gAlea145.g,0,0.041,220.392,1485.240,21025,4302
"Dijsktra",aucune,./src/resources/graphes/g/gAlea146.g,0,0.011,226.978,2544.622,21316,16910
"A*",Manhattan,./src/resources/graphes/g/gAlea146.g,0,0.726,234.635,109.950,21316,259
"A*",euclidienne,./src/resources/graphes/g/gAlea146.g,0,0.032,226.978,1924.025,21316,5754
"Dijsktra",aucune,./src/resources/graphes/g/gAlea147.g,0,0.010,231.877,2627.609,21609,17175
"A*",Manhattan,./src/resources/graphes/g/gAlea147.g,0,0.816,239.978,103.866,21609,228
"A*",euclidienne,./src/resources/graphes/g/gAlea147.g,0,0.034,231.877,1920.833,21609,5139
"Dijsktra",aucune,./src/resources/graphes/g/gAlea148.g,0,0.010,226.049,2717.113,21904,17561
"A*",Manhattan,./src/resources/graphes/g/gAlea148.g,0,0.663,230.049,118.060,21904,276
"A*",euclidienne,./src/resources/graphes/g/gAlea148.g,0,0.032,226.049,2176.595,21904,5653
"Dijsktra",aucune,./src/resources/graphes/g/gAlea149.g,0,0.008,949.863,3212.349,22201,22201
"A*",Manhattan,./src/resources/graphes/g/gAlea149.g,0,0.009,958.549,5123.356,22201,22197
"A*",euclidienne,./src/resources/graphes/g/gAlea149.g,0,0.008,949.863,4984.727,22201,22199
"Dijsktra",aucune,./src/resources/graphes/g/gAlea15.g,0,0.084,729.370,2.203,225,225
"A*",Manhattan,./src/resources/graphes/g/gAlea15.g,0,0.084,729.370,1.123,225,225
"A*",euclidienne,./src/resources/graphes/g/gAlea15.g,0,0.084,729.370,2.384,225,225
"Dijsktra",aucune,./src/resources/graphes/g/gAlea150.g,0,0.008,766.969,3268.831,22500,22484
"A*",Manhattan,./src/resources/graphes/g/gAlea150.g,0,0.011,780.141,4557.468,22500,17951
"A*",euclidienne,./src/resources/graphes/g/gAlea150.g,0,0.009,766.969,5037.316,22500,19585
"Dijsktra",aucune,./src/resources/graphes/g/gAlea16.g,0,0.105,21.556,1.660,256,172
"A*",Manhattan,./src/resources/graphes/g/gAlea16.g,0,1.000,21.556,0.852,256,18
"A*",euclidienne,./src/resources/graphes/g/gAlea16.g,0,0.346,21.556,0.616,256,52
"Dijsktra",aucune,./src/resources/graphes/g/gAlea17.g,0,0.082,36.971,1.011,289,231
"A*",Manhattan,./src/resources/graphes/g/gAlea17.g,0,0.102,39.314,0.841,289,187
"A*",euclidienne,./src/resources/graphes/g/gAlea17.g,0,0.096,36.971,1.567,289,198
"Dijsktra",aucune,./src/resources/graphes/g/gAlea18.g,0,0.068,524.556,2.713,324,323
"A*",Manhattan,./src/resources/graphes/g/gAlea18.g,0,0.081,525.142,2.139,324,270
"A*",euclidienne,./src/resources/graphes/g/gAlea18.g,0,0.077,524.556,4.113,324,286
"Dijsktra",aucune,./src/resources/graphes/g/gAlea19.g,0,0.087,46.971,1.734,361,288
"A*",Manhattan,./src/resources/graphes/g/gAlea19.g,0,0.111,46.971,2.305,361,226
"A*",euclidienne,./src/resources/graphes/g/gAlea19.g,0,0.101,46.971,2.445,361,247
"Dijsktra",aucune,./src/resources/graphes/g/gAlea20.g,0,0.084,27.799,3.143,400,273
"A*",Manhattan,./src/resources/graphes/g/gAlea20.g,0,0.958,27.799,0.494,400,24
"A*",euclidienne,./src/resources/graphes/g/gAlea20.g,0,0.354,27.799,0.812,400,65
"Dijsktra",aucune,./src/resources/graphes/g/gAlea21.g,0,0.075,528.213,5.774,441,322
"A*",Manhattan,./src/resources/graphes/g/gAlea21.g,0,1.000,528.213,0.426,441,24
"A*",euclidienne,./src/resources/graphes/g/gAlea21.g,0,0.253,528.213,1.114,441,95
"Dijsktra",aucune,./src/resources/graphes/g/gAlea22.g,0,0.083,46.062,2.359,484,327
"A*",Manhattan,./src/resources/graphes/g/gAlea22.g,0,0.492,47.234,0.802,484,59
"A*",euclidienne,./src/resources/graphes/g/gAlea22.g,0,0.233,46.062,0.871,484,116
"Dijsktra",aucune,./src/resources/graphes/g/gAlea23.g,0,0.078,33.213,2.921,529,357
"A*",Manhattan,./src/resources/graphes/g/gAlea23.g,0,0.875,33.213,0.408,529,32
"A*",euclidienne,./src/resources/graphes/g/gAlea23.g,0,0.272,33.213,1.236,529,103
"Dijsktra",aucune,./src/resources/graphes/g/gAlea24.g,0,0.074,34.627,5.280,576,392
"A*",Manhattan,./src/resources/graphes/g/gAlea24.g,0,0.659,34.627,0.572,576,44
"A*",euclidienne,./src/resources/graphes/g/gAlea24.g,0,0.279,34.627,1.481,576,104
"Dijsktra",aucune,./src/resources/graphes/g/gAlea25.g,0,0.048,544.870,4.478,625,621
"A*",Manhattan,./src/resources/graphes/g/gAlea25.g,0,0.062,545.456,7.290,625,500
"A*",euclidienne,./src/resources/graphes/g/gAlea25.g,0,0.054,544.870,4.751,625,551
"Dijsktra",aucune,./src/resources/graphes/g/gAlea26.g,0,0.067,84.042,6.085,676,536
"A*",Manhattan,./src/resources/graphes/g/gAlea26.g,0,0.075,86.385,5.292,676,536
"A*",euclidienne,./src/resources/graphes/g/gAlea26.g,0,0.067,84.042,8.990,676,536
"Dijsktra",aucune,./src/resources/graphes/g/gAlea27.g,0,0.044,555.870,7.712,729,723
"A*",Manhattan,./src/resources/graphes/g/gAlea27.g,0,0.045,555.870,4.150,729,714
"A*",euclidienne,./src/resources/graphes/g/gAlea27.g,0,0.045,555.870,8.157,729,716
