"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea49.g2,0,-1.000,Infinity,104.738,2401,179
"A*",Manhattan,./src/resources/graphes/g2/g2Alea50.g2,0,-1.000,Infinity,76.468,2500,162
"A*",euclidienne,./src/resources/graphes/g2/g2Alea50.g2,0,-1.000,Infinity,76.223,2500,162
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea50.g2,0,-1.000,Infinity,42.336,2500,162
"A*",Manhattan,./src/resources/graphes/g2/g2Alea51.g2,0,0.181,30.000,57.951,2601,171
"A*",euclidienne,./src/resources/graphes/g2/g2Alea51.g2,0,0.148,30.000,87.341,2601,209
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea51.g2,0,0.197,30.000,51.040,2601,157
"A*",Manhattan,./src/resources/graphes/g2/g2Alea52.g2,0,-1.000,Infinity,3.466,2704,5
"A*",euclidienne,./src/resources/graphes/g2/g2Alea52.g2,0,-1.000,Infinity,1.263,2704,5
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea52.g2,0,-1.000,Infinity,1.268,2704,5
"A*",Manhattan,./src/resources/graphes/g2/g2Alea53.g2,0,0.234,33.000,81.412,2809,145
"A*",euclidienne,./src/resources/graphes/g2/g2Alea53.g2,0,0.157,33.000,163.596,2809,216
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea53.g2,0,0.436,33.000,26.454,2809,78
"A*",Manhattan,./src/resources/graphes/g2/g2Alea54.g2,0,0.333,57.000,476.683,2916,174
"A*",euclidienne,./src/resources/graphes/g2/g2Alea54.g2,0,0.097,57.000,1806.264,2916,599
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea54.g2,0,0.580,57.000,88.133,2916,100
"A*",Manhattan,./src/resources/graphes/g2/g2Alea55.g2,0,0.159,61.000,284.810,3025,377
"A*",euclidienne,./src/resources/graphes/g2/g2Alea55.g2,0,0.110,61.000,480.747,3025,547
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea55.g2,0,0.217,61.000,197.454,3025,277
"A*",Manhattan,./src/resources/graphes/g2/g2Alea56.g2,0,0.225,62.000,321.593,3136,280
"A*",euclidienne,./src/resources/graphes/g2/g2Alea56.g2,0,0.106,62.000,1467.192,3136,593
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea56.g2,0,0.325,62.000,115.162,3136,194
"A*",Manhattan,./src/resources/graphes/g2/g2Alea57.g2,0,0.360,30.000,21.371,3249,86
"A*",euclidienne,./src/resources/graphes/g2/g2Alea57.g2,0,0.203,30.000,64.354,3249,153
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea57.g2,0,0.775,30.000,8.441,3249,40
"A*",Manhattan,./src/resources/graphes/g2/g2Alea58.g2,0,-1.000,Infinity,37.316,3364,60
"A*",euclidienne,./src/resources/graphes/g2/g2Alea58.g2,0,-1.000,Infinity,149.551,3364,191
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea58.g2,0,-1.000,Infinity,12.171,3364,40
"A*",Manhattan,./src/resources/graphes/g2/g2Alea59.g2,0,0.279,30.000,64.487,3481,111
"A*",euclidienne,./src/resources/graphes/g2/g2Alea59.g2,0,0.208,30.000,98.502,3481,149
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea59.g2,0,0.969,30.000,10.577,3481,32
"A*",Manhattan,./src/resources/graphes/g2/g2Alea60.g2,0,-1.000,Infinity,1650.217,3600,526
"A*",euclidienne,./src/resources/graphes/g2/g2Alea60.g2,0,-1.000,Infinity,1223.339,3600,584
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea60.g2,0,-1.000,Infinity,1229.873,3600,519
"A*",Manhattan,./src/resources/graphes/g2/g2Alea61.g2,0,-1.000,Infinity,373.833,3721,285
"A*",euclidienne,./src/resources/graphes/g2/g2Alea61.g2,0,-1.000,Infinity,267.960,3721,316
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea61.g2,0,-1.000,Infinity,369.796,3721,281
"A*",Manhattan,./src/resources/graphes/g2/g2Alea62.g2,0,0.525,20.000,20.689,3844,40
"A*",euclidienne,./src/resources/graphes/g2/g2Alea62.g2,0,0.318,20.000,34.240,3844,66
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea62.g2,0,0.840,20.000,5.247,3844,25
"A*",Manhattan,./src/resources/graphes/g2/g2Alea63.g2,0,-1.000,Infinity,33.472,3969,61
"A*",euclidienne,./src/resources/graphes/g2/g2Alea63.g2,0,-1.000,Infinity,291.051,3969,266
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea63.g2,0,-1.000,Infinity,13.004,3969,47
"A*",Manhattan,./src/resources/graphes/g2/g2Alea64.g2,0,-1.000,Infinity,3218.075,4096,646
"A*",euclidienne,./src/resources/graphes/g2/g2Alea64.g2,0,-1.000,Infinity,6102.478,4096,1094
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea64.g2,0,-1.000,Infinity,1869.137,4096,388
"A*",Manhattan,./src/resources/graphes/g2/g2Alea65.g2,0,0.175,78.000,342.787,4225,440
"A*",euclidienne,./src/resources/graphes/g2/g2Alea65.g2,0,0.070,78.000,1085.172,4225,1101
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea65.g2,0,0.642,78.000,33.554,4225,123
"A*",Manhattan,./src/resources/graphes/g2/g2Alea66.g2,0,-1.000,Infinity,1267.726,4356,529
"A*",euclidienne,./src/resources/graphes/g2/g2Alea66.g2,0,-1.000,Infinity,1487.870,4356,529
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea66.g2,0,-1.000,Infinity,985.051,4356,529
"A*",Manhattan,./src/resources/graphes/g2/g2Alea67.g2,0,0.113,105.000,989.211,4489,941
"A*",euclidienne,./src/resources/graphes/g2/g2Alea67.g2,0,0.086,105.000,1538.459,4489,1237
